Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Junior Translator,Ministry of Defense,12th Pass,24-38,3 years,Kolkata,38156-81576 INR,17-11-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
IAS Officer,Ministry of Agriculture,Diploma,23-39,0 years,Bhopal,41068-89310 INR,18-11-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Junior Engineer,Ministry of Finance,12th Pass,23-37,2 years,Ahmedabad,45006-62553 INR,16-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Driver,Ministry of Science and Technology,M.Sc,26-38,2 years,Lucknow,49731-74167 INR,29-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Junior Assistant,Ministry of Rural Development,B.Sc,24-36,4 years,Chennai,32260-62941 INR,17-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
IFS Officer,Ministry of Agriculture,PhD,28-39,0 years,Pune,39404-88644 INR,12-11-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Stenographer,Ministry of Education,PhD,25-40,3 years,Ahmedabad,46142-70738 INR,11-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
UPSC NDA,Ministry of Environment,M.Tech,24-39,3 years,Pune,47620-70010 INR,08-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Professor,Ministry of Education,Bachelor's Degree,29-36,3 years,Bangalore,47381-66632 INR,08-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
IPS Officer,Ministry of Railways,B.Tech,21-37,3 years,Chandigarh,33165-77206 INR,11-09-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Assistant Commandant,Ministry of Railways,Master's Degree,22-35,0 years,Bangalore,38519-83997 INR,12-11-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Lecturer,Ministry of Defense,Diploma,28-36,5 years,Patna,31818-63459 INR,14-09-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Electrician,Ministry of Agriculture,B.Sc,30-36,2 years,Jaipur,48300-85553 INR,18-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Nurse,Ministry of Railways,10th Pass,28-35,3 years,Hyderabad,43983-72847 INR,03-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Teacher,Ministry of Finance,12th Pass,21-39,4 years,Lucknow,43908-64136 INR,31-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Gram Sevak,Ministry of Home Affairs,B.Com,28-37,1 years,Pune,39657-76965 INR,03-11-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Audit Officer,Ministry of Finance,B.Sc,22-35,4 years,Lucknow,37624-73955 INR,03-11-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Agriculture,Master's Degree,24-39,5 years,Kolkata,31105-89213 INR,01-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Pharmacist,Ministry of Science and Technology,Diploma,22-37,2 years,Bangalore,34693-86345 INR,08-09-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
IFS Officer,Ministry of Defense,Diploma,21-38,2 years,Patna,33291-63141 INR,28-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Defense Officer,Ministry of Home Affairs,M.Sc,30-37,2 years,Chennai,48144-78858 INR,25-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Scientist B,Ministry of Finance,M.Sc,26-37,4 years,Chennai,30517-84122 INR,04-11-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Senior Resident,Ministry of Health,Master's Degree,23-40,5 years,Kolkata,37237-79134 INR,01-11-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Agriculture,Diploma,28-35,1 years,Chandigarh,31751-78484 INR,19-09-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Medical Officer,Ministry of Defense,10th Pass,24-36,0 years,Ranchi,31983-77220 INR,17-11-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Nurse,Ministry of Railways,B.Sc,21-37,3 years,Hyderabad,39133-67945 INR,22-11-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Assistant Commandant,Ministry of Rural Development,B.Tech,21-37,4 years,Chandigarh,30656-78851 INR,28-10-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Teacher,Ministry of Railways,M.Sc,21-40,0 years,Lucknow,45373-74057 INR,07-11-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Agricultural Officer,Ministry of Science and Technology,M.Tech,25-39,2 years,Chandigarh,47981-80560 INR,26-11-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Medical Officer,Ministry of Defense,Master's Degree,26-40,3 years,Patna,37369-60655 INR,23-11-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Gram Sevak,Ministry of Railways,Master's Degree,23-39,0 years,Guwahati,38675-60047 INR,26-11-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
IRS Officer,Ministry of Education,B.Tech,28-38,3 years,Mumbai,45487-82814 INR,02-11-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Veterinary Doctor,Ministry of Finance,M.Sc,27-35,4 years,Bhopal,41365-89532 INR,27-11-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Defense Officer,Ministry of Defense,M.Tech,28-40,2 years,Pune,33876-70778 INR,06-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Assistant Commandant,Ministry of Rural Development,10th Pass,22-37,3 years,Chennai,44089-60331 INR,23-11-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Veterinary Doctor,Ministry of Finance,B.Tech,25-36,0 years,Guwahati,46496-66739 INR,23-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Bank PO,Ministry of Environment,M.Tech,21-35,2 years,Jaipur,49608-87226 INR,20-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Electrician,Ministry of Defense,B.Sc,24-39,0 years,Jaipur,40331-79221 INR,10-11-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Veterinary Doctor,Ministry of Home Affairs,B.Sc,21-36,0 years,Chennai,31848-63186 INR,26-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Translator,Ministry of Education,B.Tech,28-40,5 years,Lucknow,48451-69957 INR,03-10-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Police Sub Inspector,Ministry of Environment,PhD,29-40,2 years,Mumbai,41866-81458 INR,22-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Lecturer,Ministry of Science and Technology,M.Sc,25-37,0 years,Lucknow,33779-76201 INR,15-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Translator,Ministry of Home Affairs,B.Com,27-40,4 years,Bhopal,35112-79565 INR,30-10-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Scientist B,Ministry of Defense,12th Pass,30-38,2 years,Lucknow,42819-72154 INR,08-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Nurse,Ministry of Rural Development,MBBS,26-37,3 years,Lucknow,36523-66256 INR,01-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Bank PO,Ministry of Defense,Diploma,23-40,0 years,Ahmedabad,36813-69311 INR,12-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Data Entry Operator,Ministry of Home Affairs,Bachelor's Degree,26-40,3 years,Ranchi,32802-76704 INR,28-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Nurse,Ministry of Education,M.Tech,26-40,2 years,Bhopal,34559-80910 INR,27-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Village Development Officer,Ministry of Agriculture,MBBS,27-37,5 years,Hyderabad,40001-89592 INR,21-11-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Fireman,Ministry of Railways,PhD,28-35,3 years,Guwahati,35285-67029 INR,24-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Driver,Ministry of Finance,MBBS,26-40,2 years,Hyderabad,30463-87563 INR,18-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Fireman,Ministry of Rural Development,Master's Degree,23-35,4 years,Jaipur,39288-79285 INR,15-11-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Public Prosecutor,Ministry of Finance,M.Tech,27-39,2 years,Ranchi,43673-85005 INR,21-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Driver,Ministry of Education,M.Tech,30-38,1 years,Ranchi,38159-66149 INR,26-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Assistant Commandant,Ministry of Rural Development,B.Tech,25-38,1 years,Bangalore,42291-66497 INR,24-09-2024,"Physical Test, Medical Test",Junior Engineer > Senior Engineer > Chief Engineer
Junior Translator,Ministry of Railways,B.Com,24-37,0 years,Kolkata,45883-75554 INR,11-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Mechanic,Ministry of Environment,PhD,26-36,1 years,Bangalore,43994-66624 INR,10-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Scientist B,Ministry of Home Affairs,10th Pass,23-36,4 years,Jaipur,34218-86025 INR,31-10-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Clerk,Ministry of Education,B.Com,28-38,5 years,Ahmedabad,32927-63695 INR,31-10-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Junior Translator,Ministry of Rural Development,Master's Degree,21-35,3 years,Ahmedabad,36123-74545 INR,11-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Engineer,Ministry of Finance,B.Tech,26-36,2 years,Chennai,41651-72875 INR,27-11-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Audit Officer,Ministry of Agriculture,MBBS,25-38,5 years,Guwahati,48022-76298 INR,26-10-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Assistant Engineer,Ministry of Health,MBBS,26-40,1 years,Kolkata,45005-82920 INR,12-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Postman,Ministry of Education,B.Sc,27-39,1 years,Pune,46479-88182 INR,18-10-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Village Development Officer,Ministry of Defense,M.Tech,23-35,0 years,Ranchi,38832-73477 INR,01-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Nurse,Ministry of Rural Development,10th Pass,22-36,5 years,Bhopal,48423-75931 INR,15-11-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Postman,Ministry of Agriculture,MBBS,22-37,0 years,Patna,37728-64846 INR,20-09-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Electrician,Ministry of Health,B.Sc,21-40,5 years,Pune,45293-60737 INR,05-10-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Forest Officer,Ministry of Science and Technology,B.Tech,30-40,5 years,Ahmedabad,36057-65025 INR,27-09-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Audit Officer,Ministry of Education,10th Pass,30-38,0 years,New Delhi,41220-84887 INR,04-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Bank PO,Ministry of Science and Technology,MBBS,24-38,4 years,Jaipur,46619-84056 INR,08-11-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
IRS Officer,Ministry of Agriculture,12th Pass,27-38,1 years,Ranchi,47906-73189 INR,22-11-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Accountant,Ministry of Science and Technology,Master's Degree,22-37,2 years,Hyderabad,37842-89877 INR,19-09-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Village Development Officer,Ministry of Education,12th Pass,30-38,0 years,New Delhi,37764-67868 INR,14-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Agricultural Officer,Ministry of Finance,M.Tech,30-36,3 years,Mumbai,37865-70317 INR,01-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Fireman,Ministry of Home Affairs,B.Com,30-40,5 years,Guwahati,47185-64768 INR,25-09-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
IAS Officer,Ministry of Education,12th Pass,29-38,4 years,Bhopal,43910-89301 INR,16-10-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Teacher,Ministry of Education,PhD,29-36,2 years,Jaipur,30436-69900 INR,06-10-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Senior Level > Department Head
SSC CGL Officer,Ministry of Rural Development,10th Pass,26-38,0 years,Patna,36037-63261 INR,20-09-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Medical Officer,Ministry of Railways,M.Tech,28-36,3 years,Lucknow,35627-69505 INR,07-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Lab Assistant,Ministry of Education,Bachelor's Degree,30-36,1 years,Bhopal,35375-68305 INR,22-10-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Audit Officer,Ministry of Defense,MBBS,24-38,5 years,Ranchi,41424-78450 INR,20-09-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Postman,Ministry of Defense,PhD,24-35,4 years,Chandigarh,32003-61253 INR,17-11-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Medical Officer,Ministry of Science and Technology,Master's Degree,21-36,2 years,Kolkata,45883-63712 INR,10-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Clerk,Ministry of Defense,MBBS,22-36,0 years,Jaipur,30676-79028 INR,12-09-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
UPSC NDA,Ministry of Environment,B.Sc,28-37,4 years,Ahmedabad,40032-63815 INR,14-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Lecturer,Ministry of Rural Development,B.Sc,21-40,5 years,New Delhi,30302-81018 INR,18-11-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
